Adresse du logement (N° et nom de la rue),Code postal du logement,Description de l'état du logement,Photo témoignant de l'indignité des lieux,Le bailleur est un bailleur,Le logement a déjà été frappé d'un arrêté de péril imminent
62 rue Curiol,13001,"Immeuble en état de délabrement avancé, aucun travaux depuis une ou plusieurs décennies..",,privé,Non
Rue du musée ,13001,"Vu du dessus, plus de tuile",,je ne sais pas,Je ne sais pas
 85 rue Aolphe thiers,13001,"façade et balcon coté cours qui s'effondre, planché du second étage déjà effondré une fois",,privé,Je ne sais pas
29 rue thubaneau ,13001,"Humidité, pas d'isolation, problème électrique, fissures...",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/82f28cd1006e-20181107_182124.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvODJmMjhjZDEwMDZlLTIwMTgxMTA3XzE4MjEyNC5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTA3JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTEwN1QyMTU2NDJaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT0zNDRhMzZjNDVkNjA5MmNhOTVjYmZmZTVmNmVjZWRjNmQ2Yzk4NzQxMDBmODkwOTViY2YwMzdjZTQ4MDk1Y2Ji,privé,Je ne sais pas
21 RUE CHATEAUREDON,13001,logement au dernier étage insalubre,,privé,Je ne sais pas
7 rue petit saint jean ,13001,"Envahi par nuisibles (punaises de lit, souris, rat, cafards malgré nombreuses tentatives de traitement)",,privé,Je ne sais pas
9 rue d'aubagne,13001,Hall et escaliers insalubres,,privé,Je ne sais pas
10 rue Beaumont ,13001,"C est la cage d escalier qui est vraiment menaçante _x000D_
Des sols sont déjà été reconstruits entre m’en 3 eme et 2 étage _x000D_
Punaises de lit dans tout l immeuble depuis 2 ans _x000D_
",,privé,Non
8 rue henri messerer marseille 13001,13001,le logement est correct mais c l'entrée   l'état du hall d'entrée très dégradé les murs et le sol insalubre escalier en piteux états tomettes cassées et sol de l'escalier qui s'enfonce! porte d'entrée de l'immeuble qui gonfle obligé d'appeller quelqu'un pour l'ouvrir sinon pas moyen de sortir de l'immeuble ! ,,privé,Je ne sais pas
45 RUE CURIOL 13001 MARSEILLE,13001,"bâtiment comportant de nombreuses fissures importantes, problème de fermeture de la porte principale d'entrée, couloir insalubre, fils électriques qui se promènent, tableau électrique vétuste, nombreuses fuites d'eau dont la cause n'est pas résolue... pas de lumière, invasion de rats... toiture défectueuse avec infiltration d'eau de pluie... un pilier de souténement en bois vétuste est dans la cave photo jointe_x000D_
Dans l'appartement, nous avons le sol qui s'affaisse dans la chambre des enfants, des moisissures dues à des infiltrations par façade, une humidité trop importante, ... les propriétaires avaient commencé quelques travaux, mais mal réalisés, de ce fait des joints à refaire, bac à douche un de mur s'imbibe d'eau... le parquet de la salle de bain est tellement humide qu'il se décolle... nous avons eu des puces de lit .. et toujours des rats dans le jardin... bref... un manque de luminosité également car la salle à manger n'a pas de fenêtre. La chambre des enfants et la cuisine sont en fait aménagés dans une véranda... nous sommes totalement désemparés, nous désirons déménager... nous payons 780 euro de loyer pour un appartement insalubre... ",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/0175a74dfad6-20180924_105144___Copie.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvMDE3NWE3NGRmYWQ2LTIwMTgwOTI0XzEwNTE0NF9fX0NvcGllLmpwZz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMDglMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTA4VDA5MTIxNVomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPWE2ZWY3NDY4M2UzNjhmMzQ0YmMxYTdhYjcwNTdhMmQxNWIzYWNkYTY4NjJjMTdlY2ZlMTc0OGY0ZWUyNTJiZWQ%3D,privé,Non
